PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201640067,01/04/2016 12:00:00 AM,149,M,27,HISPANIC OR LATINO,E 6TH ST / BRAZOS ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114742,10070624,GEORGE,9
201631157,01/03/2016 12:00:00 AM,2107,M,30,BLACK,2200 E 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122554,10068593,CHARLIE,3
201611278,01/01/2016 12:00:00 AM,757,M,33,BLACK,2501 S LAMAR BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3103438,10062488,DAVID,5
201630131,01/03/2016 12:00:00 AM,333,M,32,HISPANIC OR LATINO,12800 N US 183 HWY SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3104257,10130907,ADAM PD,6
201631126,01/03/2016 12:00:00 AM,1920,M,36,WHITE,1200 W ANDERSON LN,NO = 2,,,,,3121528,10100731,IDA,7
201631370,01/03/2016 12:00:00 AM,2209,M,30,HISPANIC OR LATINO,1515 GROVE BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126360,10057548,HENR,3
201620145,01/02/2016 12:00:00 AM,425,M,20,WHITE,11500 N MOPAC EXPY NB,NO = 2,,,,,3118192,10120143,ADAM PD,7
201612373,01/01/2016 12:00:00 AM,2336,M,22,BLACK,2600 BLOCK GUADALUPE ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114434,10079001,BAKER,9
201611128,01/01/2016 12:00:00 AM,524,M,27,HISPANIC OR LATINO,1500 BLOCK E SH 71 WB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,WEAPONS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3135436,10054691,HENR,3
2016921825,04/01/2016 12:00:00 AM,2054,M,22,BLACK,WEBBERVILLE RD / ROSEWOOD AVE,NO = 2,,,,,3126259,10072617,CHARLIE,1
